월별,시간별,항목,2020 년
1월,2시,음식점 및 주점업,611
1월,2시,출판업,871
1월,2시,영상/ 오디오 기록물 제작 및 배급업,640
1월,2시,방송업,828
1월,2시,통신업,912
1월,2시,컴퓨터 프로그래밍/ 시스템 통합 및 관리업,905
1월,2시,정보서비스업,889
1월,2시,금융업,556
1월,2시,보험 및 연금업,547
1월,2시,금융 및 보험 관련 서비스업,603
1월,2시,부동산업,557
1월,2시,연구개발업,777
1월,2시,전문서비스업,628
1월,2시,건축기술/ 엔지니어링 및 기타 과학기술 서비스업,727
1월,2시,기타 전문/ 과학 및 기술 서비스업,707
1월,2시,사업시설 관리 및 조경 서비스업,659
1월,2시,사업지원 서비스업,609
1월,2시,임대업;부동산 제외,141
1월,2시,공공행정/ 국방 및 사회보장 행정,690
1월,2시,교육 서비스업,715
1월,2시,보건업,752
1월,2시,사회복지 서비스업,1078
1월,2시,창작/ 예술 및 여가관련 서비스업,567
1월,2시,스포츠 및 오락관련 서비스업,670
1월,2시,협회 및 단체,847
1월,2시,개인 및 소비용품 수리업,317
1월,2시,기타 개인 서비스업,623
1월,2시,가구내 고용활동,402
1월,2시,국제 및 외국기관,874
1월,3시,농업,1079
1월,3시,임업,939
1월,3시,어업,987
1월,3시,석탄/ 원유 및 천연가스 광업,624
1월,3시,금속 광업,661
1월,3시,비금속광물 광업;연료용 제외,540
1월,3시,광업 지원 서비스업,684
1월,3시,식료품 제조업,762
1월,3시,음료 제조업,830
1월,3시,담배 제조업,722
1월,3시,섬유제품 제조업; 의복제외,870
1월,3시,의복/ 의복액세서리 및 모피제품 제조업,518
1월,3시,가죽/ 가방 및 신발 제조업,566
1월,3시,목재 및 나무제품 제조업;가구제외,744
1월,3시,펄프/ 종이 및 종이제품 제조업,961
1월,3시,인쇄 및 기록매체 복제업,554
1월,3시,코크스/ 연탄 및 석유정제품 제조업,1008
1월,3시,화학물질 및 화학제품 제조업;의약품 제외,943
1월,3시,의료용 물질 및 의약품 제조업,799
1월,3시,고무제품 및 플라스틱제품 제조업,776
1월,3시,비금속 광물제품 제조업,951
1월,3시,1차 금속 제조업,1156
1월,3시,금속가공제품 제조업;기계 및 가구 제외,683
1월,3시,전자부품/ 컴퓨터/ 영상/ 음향 및 통신장비 제조업,957
1월,3시,의료/ 정밀/ 광학기기 및 시계 제조업,981
1월,3시,전기장비 제조업,868
1월,3시,기타 기계 및 장비 제조업,619
1월,3시,자동차 및 트레일러 제조업,709
1월,3시,기타 운송장비 제조업,711
1월,3시,가구 제조업,676
1월,3시,기타 제품 제조업,619
1월,3시,전기/ 가스/ 증기 및 공기조절 공급업,995
1월,3시,수도사업,911
1월,3시,하수/ 폐수 및 분뇨 처리업,948
1월,3시,폐기물 수집운반/ 처리 및 원료재생업,747
1월,3시,환경 정화 및 복원업,780
1월,3시,종합 건설업,698
1월,3시,전문직별 공사업,799
1월,3시,자동차 및 부품 판매업,389
1월,3시,도매 및 상품중개업,627
1월,3시,소매업; 자동차 제외,484
1월,3시,육상운송 및 파이프라인 운송업,336
1월,3시,수상 운송업,577
1월,3시,항공 운송업,596
1월,3시,창고 및 운송관련 서비스업,723
1월,3시,숙박업,877
1월,3시,음식점 및 주점업,562
1월,3시,출판업,855
1월,3시,영상/ 오디오 기록물 제작 및 배급업,544
1월,3시,방송업,806
1월,3시,통신업,908
1월,3시,컴퓨터 프로그래밍/ 시스템 통합 및 관리업,899
1월,3시,정보서비스업,885
1월,3시,금융업,553
1월,3시,보험 및 연금업,542
1월,3시,금융 및 보험 관련 서비스업,600
1월,3시,부동산업,533
1월,3시,연구개발업,773
1월,3시,전문서비스업,615
1월,3시,건축기술/ 엔지니어링 및 기타 과학기술 서비스업,726
1월,3시,기타 전문/ 과학 및 기술 서비스업,701
1월,3시,사업시설 관리 및 조경 서비스업,651
1월,3시,사업지원 서비스업,597
1월,3시,임대업;부동산 제외,145
1월,3시,공공행정/ 국방 및 사회보장 행정,682
1월,3시,교육 서비스업,705
1월,3시,보건업,744
1월,3시,사회복지 서비스업,1029
1월,3시,창작/ 예술 및 여가관련 서비스업,560
1월,3시,스포츠 및 오락관련 서비스업,650
1월,3시,협회 및 단체,820
1월,3시,개인 및 소비용품 수리업,308
1월,3시,기타 개인 서비스업,620
1월,3시,가구내 고용활동,406
1월,3시,국제 및 외국기관,871
1월,4시,농업,1092
1월,4시,임업,916
1월,4시,어업,985
1월,4시,석탄/ 원유 및 천연가스 광업,734
1월,4시,금속 광업,668
1월,4시,비금속광물 광업;연료용 제외,571
1월,4시,광업 지원 서비스업,696
1월,4시,식료품 제조업,755
1월,4시,음료 제조업,828
1월,4시,담배 제조업,716
1월,4시,섬유제품 제조업; 의복제외,872
1월,4시,의복/ 의복액세서리 및 모피제품 제조업,516
1월,4시,가죽/ 가방 및 신발 제조업,566
1월,4시,목재 및 나무제품 제조업;가구제외,744
1월,4시,펄프/ 종이 및 종이제품 제조업,966
1월,4시,인쇄 및 기록매체 복제업,559
1월,4시,코크스/ 연탄 및 석유정제품 제조업,1007
1월,4시,화학물질 및 화학제품 제조업;의약품 제외,943
1월,4시,의료용 물질 및 의약품 제조업,800
1월,4시,고무제품 및 플라스틱제품 제조업,785
1월,4시,비금속 광물제품 제조업,956
1월,4시,1차 금속 제조업,1151
1월,4시,금속가공제품 제조업;기계 및 가구 제외,678
1월,4시,전자부품/ 컴퓨터/ 영상/ 음향 및 통신장비 제조업,956
1월,4시,의료/ 정밀/ 광학기기 및 시계 제조업,979
1월,4시,전기장비 제조업,859
1월,4시,기타 기계 및 장비 제조업,624
1월,4시,자동차 및 트레일러 제조업,701
1월,4시,기타 운송장비 제조업,698
1월,4시,가구 제조업,678
1월,4시,기타 제품 제조업,618
1월,4시,전기/ 가스/ 증기 및 공기조절 공급업,1015
1월,4시,수도사업,899
1월,4시,하수/ 폐수 및 분뇨 처리업,936
1월,4시,폐기물 수집운반/ 처리 및 원료재생업,751
1월,4시,환경 정화 및 복원업,741
1월,4시,종합 건설업,692
1월,4시,전문직별 공사업,793
1월,4시,자동차 및 부품 판매업,388
1월,4시,도매 및 상품중개업,628
1월,4시,소매업; 자동차 제외,475
1월,4시,육상운송 및 파이프라인 운송업,344
1월,4시,수상 운송업,577
1월,4시,항공 운송업,599
1월,4시,창고 및 운송관련 서비스업,722
1월,4시,숙박업,850
1월,4시,음식점 및 주점업,530
1월,4시,출판업,854
1월,4시,영상/ 오디오 기록물 제작 및 배급업,483
1월,4시,방송업,785
1월,4시,통신업,908
1월,4시,컴퓨터 프로그래밍/ 시스템 통합 및 관리업,897
1월,4시,정보서비스업,879
1월,4시,금융업,552
1월,4시,보험 및 연금업,543
1월,4시,금융 및 보험 관련 서비스업,599
1월,4시,부동산업,521
1월,4시,연구개발업,770
1월,4시,전문서비스업,611
1월,4시,건축기술/ 엔지니어링 및 기타 과학기술 서비스업,721
1월,4시,기타 전문/ 과학 및 기술 서비스업,708
1월,4시,사업시설 관리 및 조경 서비스업,645
1월,4시,사업지원 서비스업,599
1월,4시,임대업;부동산 제외,147
1월,4시,공공행정/ 국방 및 사회보장 행정,679
1월,4시,교육 서비스업,697
1월,4시,보건업,743
1월,4시,사회복지 서비스업,987
1월,4시,창작/ 예술 및 여가관련 서비스업,554
1월,4시,스포츠 및 오락관련 서비스업,647
1월,4시,협회 및 단체,835
1월,4시,개인 및 소비용품 수리업,305
1월,4시,기타 개인 서비스업,651
1월,4시,가구내 고용활동,527
1월,4시,국제 및 외국기관,874
1월,5시,농업,1113
1월,5시,임업,901
1월,5시,어업,985
1월,5시,석탄/ 원유 및 천연가스 광업,765
1월,5시,금속 광업,674
1월,5시,비금속광물 광업;연료용 제외,555
1월,5시,광업 지원 서비스업,698
1월,5시,식료품 제조업,753
1월,5시,음료 제조업,825
1월,5시,담배 제조업,713
1월,5시,섬유제품 제조업; 의복제외,860
1월,5시,의복/ 의복액세서리 및 모피제품 제조업,523
1월,5시,가죽/ 가방 및 신발 제조업,572
1월,5시,목재 및 나무제품 제조업;가구제외,749
1월,5시,펄프/ 종이 및 종이제품 제조업,966
1월,5시,인쇄 및 기록매체 복제업,558
1월,5시,코크스/ 연탄 및 석유정제품 제조업,1000
1월,5시,화학물질 및 화학제품 제조업;의약품 제외,941
1월,5시,의료용 물질 및 의약품 제조업,800
1월,5시,고무제품 및 플라스틱제품 제조업,781
1월,5시,비금속 광물제품 제조업,953
1월,5시,1차 금속 제조업,1142
1월,5시,금속가공제품 제조업;기계 및 가구 제외,675
1월,5시,전자부품/ 컴퓨터/ 영상/ 음향 및 통신장비 제조업,957
1월,5시,의료/ 정밀/ 광학기기 및 시계 제조업,946
1월,5시,전기장비 제조업,844
1월,5시,기타 기계 및 장비 제조업,625
1월,5시,자동차 및 트레일러 제조업,705
1월,5시,기타 운송장비 제조업,707
1월,5시,가구 제조업,683
1월,5시,기타 제품 제조업,622
1월,5시,전기/ 가스/ 증기 및 공기조절 공급업,1030
1월,5시,수도사업,897
1월,5시,하수/ 폐수 및 분뇨 처리업,930
1월,5시,폐기물 수집운반/ 처리 및 원료재생업,751
1월,5시,환경 정화 및 복원업,743
1월,5시,종합 건설업,709
1월,5시,전문직별 공사업,808
1월,5시,자동차 및 부품 판매업,401
1월,5시,도매 및 상품중개업,638
1월,5시,소매업; 자동차 제외,481
1월,5시,육상운송 및 파이프라인 운송업,428
1월,5시,수상 운송업,594
1월,5시,항공 운송업,617
1월,5시,창고 및 운송관련 서비스업,741
1월,5시,숙박업,850
1월,5시,음식점 및 주점업,517
1월,5시,출판업,865
1월,5시,영상/ 오디오 기록물 제작 및 배급업,463
1월,5시,방송업,778
1월,5시,통신업,909
1월,5시,컴퓨터 프로그래밍/ 시스템 통합 및 관리업,896
1월,5시,정보서비스업,878
1월,5시,금융업,561
1월,5시,보험 및 연금업,552
1월,5시,금융 및 보험 관련 서비스업,607
1월,5시,부동산업,527
1월,5시,연구개발업,774
1월,5시,전문서비스업,615
1월,5시,건축기술/ 엔지니어링 및 기타 과학기술 서비스업,724
1월,5시,기타 전문/ 과학 및 기술 서비스업,720
1월,5시,사업시설 관리 및 조경 서비스업,653
1월,5시,사업지원 서비스업,613
1월,5시,임대업;부동산 제외,144
1월,5시,공공행정/ 국방 및 사회보장 행정,691
1월,5시,교육 서비스업,700
1월,5시,보건업,761
1월,5시,사회복지 서비스업,981
1월,5시,창작/ 예술 및 여가관련 서비스업,564
1월,5시,스포츠 및 오락관련 서비스업,678
1월,5시,협회 및 단체,1008
1월,5시,개인 및 소비용품 수리업,309
1월,5시,기타 개인 서비스업,778
1월,5시,가구내 고용활동,596
1월,5시,국제 및 외국기관,885
1월,6시,농업,1144
1월,6시,임업,888
1월,6시,어업,988
1월,6시,석탄/ 원유 및 천연가스 광업,731
1월,6시,금속 광업,680
1월,6시,비금속광물 광업;연료용 제외,559
1월,6시,광업 지원 서비스업,724
1월,6시,식료품 제조업,764
1월,6시,음료 제조업,830
1월,6시,담배 제조업,730
1월,6시,섬유제품 제조업; 의복제외,861
1월,6시,의복/ 의복액세서리 및 모피제품 제조업,539
1월,6시,가죽/ 가방 및 신발 제조업,611
1월,6시,목재 및 나무제품 제조업;가구제외,759
1월,6시,펄프/ 종이 및 종이제품 제조업,964
1월,6시,인쇄 및 기록매체 복제업,572
1월,6시,코크스/ 연탄 및 석유정제품 제조업,997
1월,6시,화학물질 및 화학제품 제조업;의약품 제외,947
1월,6시,의료용 물질 및 의약품 제조업,811
1월,6시,고무제품 및 플라스틱제품 제조업,783
1월,6시,비금속 광물제품 제조업,956
1월,6시,1차 금속 제조업,1126
1월,6시,금속가공제품 제조업;기계 및 가구 제외,684
1월,6시,전자부품/ 컴퓨터/ 영상/ 음향 및 통신장비 제조업,956
1월,6시,의료/ 정밀/ 광학기기 및 시계 제조업,957
1월,6시,전기장비 제조업,847
1월,6시,기타 기계 및 장비 제조업,635
1월,6시,자동차 및 트레일러 제조업,715
1월,6시,기타 운송장비 제조업,689
1월,6시,가구 제조업,691
1월,6시,기타 제품 제조업,638
1월,6시,전기/ 가스/ 증기 및 공기조절 공급업,1010
1월,6시,수도사업,915
1월,6시,하수/ 폐수 및 분뇨 처리업,931
1월,6시,폐기물 수집운반/ 처리 및 원료재생업,767
1월,6시,환경 정화 및 복원업,757
1월,6시,종합 건설업,761
1월,6시,전문직별 공사업,881
1월,6시,자동차 및 부품 판매업,456
1월,6시,도매 및 상품중개업,661
1월,6시,소매업; 자동차 제외,506
1월,6시,육상운송 및 파이프라인 운송업,739
1월,6시,수상 운송업,690
1월,6시,항공 운송업,640
1월,6시,창고 및 운송관련 서비스업,790
1월,6시,숙박업,887
1월,6시,음식점 및 주점업,529
1월,6시,출판업,885
1월,6시,영상/ 오디오 기록물 제작 및 배급업,483
1월,6시,방송업,819
1월,6시,통신업,921
1월,6시,컴퓨터 프로그래밍/ 시스템 통합 및 관리업,904
1월,6시,정보서비스업,891
1월,6시,금융업,608
1월,6시,보험 및 연금업,622
1월,6시,금융 및 보험 관련 서비스업,681
1월,6시,부동산업,569
1월,6시,연구개발업,804
1월,6시,전문서비스업,682
1월,6시,건축기술/ 엔지니어링 및 기타 과학기술 서비스업,748
1월,6시,기타 전문/ 과학 및 기술 서비스업,774
1월,6시,사업시설 관리 및 조경 서비스업,665
1월,6시,사업지원 서비스업,661
1월,6시,임대업;부동산 제외,138
1월,6시,공공행정/ 국방 및 사회보장 행정,740
1월,6시,교육 서비스업,724
1월,6시,보건업,833
1월,6시,사회복지 서비스업,1015
1월,6시,창작/ 예술 및 여가관련 서비스업,590
1월,6시,스포츠 및 오락관련 서비스업,756
1월,6시,협회 및 단체,1132
1월,6시,개인 및 소비용품 수리업,342
1월,6시,기타 개인 서비스업,922
1월,6시,가구내 고용활동,663
1월,6시,국제 및 외국기관,944
1월,7시,농업,1191
1월,7시,임업,929
1월,7시,어업,997
1월,7시,석탄/ 원유 및 천연가스 광업,706
1월,7시,금속 광업,700
1월,7시,비금속광물 광업;연료용 제외,653
1월,7시,광업 지원 서비스업,838
1월,7시,식료품 제조업,820
1월,7시,음료 제조업,880
1월,7시,담배 제조업,797
1월,7시,섬유제품 제조업; 의복제외,885
1월,7시,의복/ 의복액세서리 및 모피제품 제조업,596
1월,7시,가죽/ 가방 및 신발 제조업,748
1월,7시,목재 및 나무제품 제조업;가구제외,791
1월,7시,펄프/ 종이 및 종이제품 제조업,970
1월,7시,인쇄 및 기록매체 복제업,617
1월,7시,코크스/ 연탄 및 석유정제품 제조업,1000
1월,7시,화학물질 및 화학제품 제조업;의약품 제외,961
1월,7시,의료용 물질 및 의약품 제조업,848
1월,7시,고무제품 및 플라스틱제품 제조업,835
1월,7시,비금속 광물제품 제조업,985
1월,7시,1차 금속 제조업,1133
1월,7시,금속가공제품 제조업;기계 및 가구 제외,748
1월,7시,전자부품/ 컴퓨터/ 영상/ 음향 및 통신장비 제조업,964
1월,7시,의료/ 정밀/ 광학기기 및 시계 제조업,963
1월,7시,전기장비 제조업,884
1월,7시,기타 기계 및 장비 제조업,699
1월,7시,자동차 및 트레일러 제조업,826
1월,7시,기타 운송장비 제조업,734
1월,7시,가구 제조업,734
1월,7시,기타 제품 제조업,704
1월,7시,전기/ 가스/ 증기 및 공기조절 공급업,991
1월,7시,수도사업,970
1월,7시,하수/ 폐수 및 분뇨 처리업,950
1월,7시,폐기물 수집운반/ 처리 및 원료재생업,825
1월,7시,환경 정화 및 복원업,876
1월,7시,종합 건설업,893
1월,7시,전문직별 공사업,1022
1월,7시,자동차 및 부품 판매업,606
1월,7시,도매 및 상품중개업,735
1월,7시,소매업; 자동차 제외,574
1월,7시,육상운송 및 파이프라인 운송업,1083
1월,7시,수상 운송업,793
1월,7시,항공 운송업,721
1월,7시,창고 및 운송관련 서비스업,863
1월,7시,숙박업,946
1월,7시,음식점 및 주점업,590
1월,7시,출판업,938
1월,7시,영상/ 오디오 기록물 제작 및 배급업,530
1월,7시,방송업,912
1월,7시,통신업,950
1월,7시,컴퓨터 프로그래밍/ 시스템 통합 및 관리업,930
1월,7시,정보서비스업,936
1월,7시,금융업,720
1월,7시,보험 및 연금업,809
1월,7시,금융 및 보험 관련 서비스업,866
1월,7시,부동산업,663
1월,7시,연구개발업,869
1월,7시,전문서비스업,843
1월,7시,건축기술/ 엔지니어링 및 기타 과학기술 서비스업,835
1월,7시,기타 전문/ 과학 및 기술 서비스업,860
1월,7시,사업시설 관리 및 조경 서비스업,707
1월,7시,사업지원 서비스업,770
1월,7시,임대업;부동산 제외,146
1월,7시,공공행정/ 국방 및 사회보장 행정,880
1월,7시,교육 서비스업,784
1월,7시,보건업,947
1월,7시,사회복지 서비스업,1075
1월,7시,창작/ 예술 및 여가관련 서비스업,680
1월,7시,스포츠 및 오락관련 서비스업,882
1월,7시,협회 및 단체,1008
1월,7시,개인 및 소비용품 수리업,470
1월,7시,기타 개인 서비스업,1010
1월,7시,가구내 고용활동,898
1월,7시,국제 및 외국기관,1015
1월,8시,농업,1237
1월,8시,임업,1038
1월,8시,어업,1001
1월,8시,석탄/ 원유 및 천연가스 광업,674
1월,8시,금속 광업,932
1월,8시,비금속광물 광업;연료용 제외,1202
1월,8시,광업 지원 서비스업,1187
1월,8시,식료품 제조업,958
1월,8시,음료 제조업,982
1월,8시,담배 제조업,1051
1월,8시,섬유제품 제조업; 의복제외,961
1월,8시,의복/ 의복액세서리 및 모피제품 제조업,870
1월,8시,가죽/ 가방 및 신발 제조업,1062
1월,8시,목재 및 나무제품 제조업;가구제외,938
1월,8시,펄프/ 종이 및 종이제품 제조업,997
1월,8시,인쇄 및 기록매체 복제업,794
1월,8시,코크스/ 연탄 및 석유정제품 제조업,1001
1월,8시,화학물질 및 화학제품 제조업;의약품 제외,990
1월,8시,의료용 물질 및 의약품 제조업,955
1월,8시,고무제품 및 플라스틱제품 제조업,952
1월,8시,비금속 광물제품 제조업,1101
1월,8시,1차 금속 제조업,1152
1월,8시,금속가공제품 제조업;기계 및 가구 제외,921
1월,8시,전자부품/ 컴퓨터/ 영상/ 음향 및 통신장비 제조업,988
1월,8시,의료/ 정밀/ 광학기기 및 시계 제조업,1026
1월,8시,전기장비 제조업,981
1월,8시,기타 기계 및 장비 제조업,901
1월,8시,자동차 및 트레일러 제조업,1013
1월,8시,기타 운송장비 제조업,905
1월,8시,가구 제조업,891
1월,8시,기타 제품 제조업,901
1월,8시,전기/ 가스/ 증기 및 공기조절 공급업,989
1월,8시,수도사업,1063
1월,8시,하수/ 폐수 및 분뇨 처리업,984
1월,8시,폐기물 수집운반/ 처리 및 원료재생업,1071
1월,8시,환경 정화 및 복원업,1035
1월,8시,종합 건설업,1060
1월,8시,전문직별 공사업,1146
1월,8시,자동차 및 부품 판매업,915
1월,8시,도매 및 상품중개업,899
1월,8시,소매업; 자동차 제외,686
1월,8시,육상운송 및 파이프라인 운송업,1282
1월,8시,수상 운송업,938
1월,8시,항공 운송업,897
1월,8시,창고 및 운송관련 서비스업,968
1월,8시,숙박업,979
1월,8시,음식점 및 주점업,677
1월,8시,출판업,989
1월,8시,영상/ 오디오 기록물 제작 및 배급업,649
1월,8시,방송업,1036
1월,8시,통신업,1001
1월,8시,컴퓨터 프로그래밍/ 시스템 통합 및 관리업,985
1월,8시,정보서비스업,1004
1월,8시,금융업,966
1월,8시,보험 및 연금업,1099
1월,8시,금융 및 보험 관련 서비스업,1081
1월,8시,부동산업,803
1월,8시,연구개발업,972
1월,8시,전문서비스업,998
1월,8시,건축기술/ 엔지니어링 및 기타 과학기술 서비스업,1008
1월,8시,기타 전문/ 과학 및 기술 서비스업,990
1월,8시,사업시설 관리 및 조경 서비스업,843
1월,8시,사업지원 서비스업,938
1월,8시,임대업;부동산 제외,147
1월,8시,공공행정/ 국방 및 사회보장 행정,1088
1월,8시,교육 서비스업,904
1월,8시,보건업,1070
1월,8시,사회복지 서비스업,1108
1월,8시,창작/ 예술 및 여가관련 서비스업,843
1월,8시,스포츠 및 오락관련 서비스업,965
1월,8시,협회 및 단체,931
1월,8시,개인 및 소비용품 수리업,801
1월,8시,기타 개인 서비스업,1091
1월,8시,가구내 고용활동,1104
1월,8시,국제 및 외국기관,1102
1월,9시,농업,1231
1월,9시,임업,1160
1월,9시,어업,1011
1월,9시,석탄/ 원유 및 천연가스 광업,760
1월,9시,금속 광업,1322
1월,9시,비금속광물 광업;연료용 제외,1514
1월,9시,광업 지원 서비스업,1375
1월,9시,식료품 제조업,1173
1월,9시,음료 제조업,1136
1월,9시,담배 제조업,1265
1월,9시,섬유제품 제조업; 의복제외,1104
1월,9시,의복/ 의복액세서리 및 모피제품 제조업,1400
1월,9시,가죽/ 가방 및 신발 제조업,1469
1월,9시,목재 및 나무제품 제조업;가구제외,1314
1월,9시,펄프/ 종이 및 종이제품 제조업,1075
1월,9시,인쇄 및 기록매체 복제업,1268
1월,9시,코크스/ 연탄 및 석유정제품 제조업,1002
1월,9시,화학물질 및 화학제품 제조업;의약품 제외,1055
1월,9시,의료용 물질 및 의약품 제조업,1154
1월,9시,고무제품 및 플라스틱제품 제조업,1194
1월,9시,비금속 광물제품 제조업,1243
1월,9시,1차 금속 제조업,1148
1월,9시,금속가공제품 제조업;기계 및 가구 제외,1323
1월,9시,전자부품/ 컴퓨터/ 영상/ 음향 및 통신장비 제조업,1040
1월,9시,의료/ 정밀/ 광학기기 및 시계 제조업,1167
1월,9시,전기장비 제조업,1153
1월,9시,기타 기계 및 장비 제조업,1339
1월,9시,자동차 및 트레일러 제조업,1257
1월,9시,기타 운송장비 제조업,1362
1월,9시,가구 제조업,1274
1월,9시,기타 제품 제조업,1324
1월,9시,전기/ 가스/ 증기 및 공기조절 공급업,1007
1월,9시,수도사업,1103
1월,9시,하수/ 폐수 및 분뇨 처리업,1023
1월,9시,폐기물 수집운반/ 처리 및 원료재생업,1364
1월,9시,환경 정화 및 복원업,1117
1월,9시,종합 건설업,1208
1월,9시,전문직별 공사업,1293
1월,9시,자동차 및 부품 판매업,1400
1월,9시,도매 및 상품중개업,1163
1월,9시,소매업; 자동차 제외,908
1월,9시,육상운송 및 파이프라인 운송업,1365
1월,9시,수상 운송업,1186
1월,9시,항공 운송업,1319
1월,9시,창고 및 운송관련 서비스업,1122
1월,9시,숙박업,1006
1월,9시,음식점 및 주점업,832
1월,9시,출판업,1053
1월,9시,영상/ 오디오 기록물 제작 및 배급업,1034
1월,9시,방송업,1134
1월,9시,통신업,1078
1월,9시,컴퓨터 프로그래밍/ 시스템 통합 및 관리업,1060
1월,9시,정보서비스업,1078
1월,9시,금융업,1439
1월,9시,보험 및 연금업,1472
