,斥档,矫档,矫焙备,措惑啊备荐(龋),啊备寸 乞闭 傈仿 荤侩樊(kWh),啊备寸 乞闭 傈扁夸陛(盔)
31,202107,堡林堡开矫,巢备,"109,130 ",259 ,"27,177 "
32,202107,堡林堡开矫,悼备,"65,153 ",231 ,"24,713 "
33,202107,堡林堡开矫,合备,"230,027 ",251 ,"25,456 "
34,202107,堡林堡开矫,辑备,"155,419 ",242 ,"24,620 "
35,202108,堡林堡开矫,堡魂备,"201,390 ",359 ,"42,428 "
36,202108,堡林堡开矫,巢备,"109,036 ",332 ,"38,911 "
37,202108,堡林堡开矫,悼备,"65,139 ",287 ,"33,098 "
38,202108,堡林堡开矫,合备,"230,551 ",316 ,"35,481 "
39,202108,堡林堡开矫,辑备,"155,402 ",342 ,"39,959 "
42,202109,堡林堡开矫,悼备,"65,105 ",232 ,"24,382 "
44,202109,堡林堡开矫,辑备,"155,865 ",281 ,"29,727 "
43,202109,堡林堡开矫,合备,"230,669 ",246 ,"25,424 "
41,202109,堡林堡开矫,巢备,"109,024 ",268 ,"29,332 "
40,202109,堡林堡开矫,堡魂备,"201,547 ",300 ,"32,417 "
45,202110,堡林堡开矫,堡魂备,"201,686 ",238 ,"25,132 "
46,202110,堡林堡开矫,巢备,"109,447 ",229 ,"24,726 "
47,202110,堡林堡开矫,悼备,"65,629 ",203 ,"21,589 "
48,202110,堡林堡开矫,合备,"230,669 ",215 ,"22,191 "
49,202110,堡林堡开矫,辑备,"155,971 ",229 ,"24,154 "
50,202111,堡林堡开矫,堡魂备,"202,668 ",234 ,"24,516 "
51,202111,堡林堡开矫,巢备,"109,596 ",234 ,"25,549 "
52,202111,堡林堡开矫,悼备,"65,643 ",208 ,"22,112 "
53,202111,堡林堡开矫,合备,"231,000 ",216 ,"22,394 "
54,202111,堡林堡开矫,辑备,"156,019 ",223 ,"23,345 "
58,202112,堡林堡开矫,合备,"233,902 ",222 ,"23,611 "
57,202112,堡林堡开矫,悼备,"67,318 ",208 ,"22,989 "
59,202112,堡林堡开矫,辑备,"156,227 ",227 ,"23,998 "
55,202112,堡林堡开矫,堡魂备,"202,933 ",237 ,"24,984 "
56,202112,堡林堡开矫,巢备,"110,139 ",240 ,"26,607 "
60,202201,堡林堡开矫,堡魂备,"203,641 ",258 ,"28,916 "
61,202201,堡林堡开矫,巢备,"110,113 ",263 ,"31,129 "
62,202201,堡林堡开矫,悼备,"68,547 ",224 ,"26,564 "
63,202201,堡林堡开矫,合备,"234,013 ",241 ,"27,257 "
64,202201,堡林堡开矫,辑备,"158,177 ",245 ,"27,610 "
65,202202,堡林堡开矫,堡魂备,"203,802 ",261 ,"29,488 "
66,202202,堡林堡开矫,巢备,"110,103 ",263 ,"31,146 "
67,202202,堡林堡开矫,悼备,"68,547 ",218 ,"25,332 "
68,202202,堡林堡开矫,合备,"233,936 ",239 ,"26,815 "
69,202202,堡林堡开矫,辑备,"158,194 ",248 ,"28,338 "
74,202203,堡林堡开矫,辑备,"158,251 ",219 ,"23,033 "
73,202203,堡林堡开矫,合备,"234,128 ",214 ,"22,204 "
72,202203,堡林堡开矫,悼备,"68,522 ",200 ,"21,487 "
70,202203,堡林堡开矫,堡魂备,"204,491 ",229 ,"24,008 "
71,202203,堡林堡开矫,巢备,"110,148 ",229 ,"24,847 "
75,202204,堡林堡开矫,堡魂备,"205,242 ",239 ,"24,794 "
76,202204,堡林堡开矫,巢备,"110,471 ",234 ,"25,637 "
77,202204,堡林堡开矫,悼备,"68,527 ",197 ,"20,954 "
78,202204,堡林堡开矫,合备,"234,221 ",216 ,"22,193 "
79,202204,堡林堡开矫,辑备,"158,494 ",227 ,"23,682 "
80,202205,堡林堡开矫,堡魂备,"206,303 ",216 ,"21,917 "
81,202205,堡林堡开矫,巢备,"110,547 ",214 ,"22,631 "
82,202205,堡林堡开矫,悼备,"69,242 ",181 ,"19,092 "
83,202205,堡林堡开矫,合备,"234,312 ",199 ,"19,856 "
84,202205,堡林堡开矫,辑备,"158,451 ",205 ,"20,916 "
89,202206,堡林堡开矫,辑备,"158,485 ",210 ,"21,730 "
87,202206,堡林堡开矫,悼备,"69,214 ",193 ,"20,705 "
88,202206,堡林堡开矫,合备,"234,362 ",209 ,"21,342 "
85,202206,堡林堡开矫,堡魂备,"206,592 ",223 ,"22,930 "
86,202206,堡林堡开矫,巢备,"110,555 ",224 ,"23,897 "
90,202207,堡林堡开矫,堡魂备,"207,184 ",278 ,"30,663 "
91,202207,堡林堡开矫,巢备,"110,580 ",281 ,"31,431 "
92,202207,堡林堡开矫,悼备,"69,225 ",246 ,"27,483 "
93,202207,堡林堡开矫,合备,"234,342 ",272 ,"29,582 "
94,202207,堡林堡开矫,辑备,"158,503 ",259 ,"28,333 "
95,202208,堡林堡开矫,堡魂备,"207,256 ",344 ,"39,031 "
96,202208,堡林堡开矫,巢备,"110,534 ",330 ,"37,660 "
97,202208,堡林堡开矫,悼备,"69,216 ",280 ,"31,653 "
98,202208,堡林堡开矫,合备,"234,295 ",312 ,"34,245 "
99,202208,堡林堡开矫,辑备,"158,572 ",315 ,"34,702 "
104,202209,堡林堡开矫,辑备,"158,662 ",289 ,"31,426 "
102,202209,堡林堡开矫,悼备,"69,306 ",232 ,"25,270 "
103,202209,堡林堡开矫,合备,"234,384 ",250 ,"26,275 "
100,202209,堡林堡开矫,堡魂备,"207,687 ",311 ,"34,656 "
101,202209,堡林堡开矫,巢备,"110,540 ",277 ,"30,915 "
105,202210,堡林堡开矫,堡魂备,"207,779 ",232 ,"25,134 "
106,202210,堡林堡开矫,巢备,"110,555 ",222 ,"24,909 "
107,202210,堡林堡开矫,悼备,"69,804 ",195 ,"21,913 "
108,202210,堡林堡开矫,合备,"234,514 ",208 ,"22,143 "
109,202210,堡林堡开矫,辑备,"158,723 ",221 ,"24,066 "
114,202211,堡林堡开矫,辑备,"158,762 ",211 ,"23,719 "
113,202211,堡林堡开矫,合备,"234,872 ",209 ,"23,191 "
111,202211,堡林堡开矫,巢备,"110,706 ",226 ,"26,078 "
110,202211,堡林堡开矫,堡魂备,"208,585 ",224 ,"25,078 "
112,202211,堡林堡开矫,悼备,"69,681 ",194 ,"22,525 "
118,202212,堡林堡开矫,合备,"234,797 ",221 ,"25,115 "
115,202212,堡林堡开矫,堡魂备,"208,308 ",231 ,"26,059 "
116,202212,堡林堡开矫,巢备,"110,671 ",238 ,"27,829 "
117,202212,堡林堡开矫,悼备,"69,891 ",210 ,"24,978 "
119,202212,堡林堡开矫,辑备,"158,772 ",218 ,"24,525 "
