조건별분석,,,,
[검색조건],,,,
,분류: 지상,,,
"		108",서울,2012-12-26,33.5,22
"		108",서울,2012-12-27,47.1,31
"		108",서울,2012-12-28,59.5,50
"		108",서울,2012-12-29,84.1,75
"		108",서울,2012-12-30,54.6,32
"		108",서울,2012-12-31,45.9,28
"		108",서울,2013-01-01,73.5,52
"		108",서울,2013-01-02,40.8,29
"		108",서울,2013-01-03,42.8,30
"		108",서울,2013-01-04,44.3,27
"		108",서울,2013-01-05,59.4,41
"		108",서울,2013-01-06,59.4,27
"		108",서울,2013-01-07,53.6,33
"		108",서울,2013-01-08,53.4,27
"		108",서울,2013-01-09,38.5,28
"		108",서울,2013-01-10,41.3,25
"		108",서울,2013-01-11,50.5,40
"		108",서울,2013-01-12,70,55
"		108",서울,2013-01-13,65.6,29
"		108",서울,2013-01-14,61.6,40
"		108",서울,2013-01-15,57,39
"		108",서울,2013-01-16,64.1,52
"		108",서울,2013-01-17,62.9,52
"		108",서울,2013-01-18,51.9,21
"		108",서울,2013-01-19,59.9,41
"		108",서울,2013-01-20,55.8,40
"		108",서울,2013-01-21,83.6,46
"		108",서울,2013-01-22,74.3,58
"		108",서울,2013-01-23,80.4,60
"		108",서울,2013-01-24,57.6,28
"		108",서울,2013-01-25,37.5,24
"		108",서울,2013-01-26,37,25
"		108",서울,2013-01-27,44.9,34
"		108",서울,2013-01-28,56,35
"		108",서울,2013-01-29,63.5,56
"		108",서울,2013-01-30,68.8,57
"		108",서울,2013-01-31,59.5,44
"		108",서울,2013-02-01,85.8,46
"		108",서울,2013-02-02,52.1,26
"		108",서울,2013-02-03,62.3,31
"		108",서울,2013-02-04,77.1,58
"		108",서울,2013-02-05,77,55
"		108",서울,2013-02-06,75,62
"		108",서울,2013-02-07,42.5,28
"		108",서울,2013-02-08,39.3,25
"		108",서울,2013-02-09,55.5,39
"		108",서울,2013-02-10,56.6,30
"		108",서울,2013-02-11,41.8,25
"		108",서울,2013-02-12,55.6,28
"		108",서울,2013-02-13,59.6,33
"		108",서울,2013-02-14,60.1,42
"		108",서울,2013-02-15,48.4,20
"		108",서울,2013-02-16,38.8,15
"		108",서울,2013-02-17,44.5,26
"		108",서울,2013-02-18,49.8,34
"		108",서울,2013-02-19,27.5,15
"		108",서울,2013-02-20,35.3,17
"		108",서울,2013-02-21,49,25
"		108",서울,2013-02-22,57.1,20
"		108",서울,2013-02-23,45.9,23
"		108",서울,2013-02-24,42.4,15
"		108",서울,2013-02-25,39.4,23
"		108",서울,2013-02-26,56.4,37
"		108",서울,2013-02-27,69.5,34
"		108",서울,2013-02-28,57.3,16
"		108",서울,2013-03-01,56.1,35
"		108",서울,2013-03-02,42.6,29
"		108",서울,2013-03-03,50.3,26
"		108",서울,2013-03-04,58.6,24
"		108",서울,2013-03-05,51.8,23
"		108",서울,2013-03-06,43.1,24
"		108",서울,2013-03-07,74.1,32
"		108",서울,2013-03-08,66,45
"		108",서울,2013-03-09,48.8,16
"		108",서울,2013-03-10,32.5,19
"		108",서울,2013-03-11,33.4,12
"		108",서울,2013-03-12,60.4,43
"		108",서울,2013-03-13,64.5,37
"		108",서울,2013-03-14,48.9,29
"		108",서울,2013-03-15,43.4,27
"		108",서울,2013-03-16,53.6,30
"		108",서울,2013-03-17,57.5,10
"		108",서울,2013-03-18,73,41
"		108",서울,2013-03-19,61.1,38
"		108",서울,2013-03-20,51.9,18
"		108",서울,2013-03-21,34.3,17
"		108",서울,2013-03-22,61.6,53
"		108",서울,2013-03-23,39,20
"		108",서울,2013-03-24,47.4,26
"		108",서울,2013-03-25,40.3,19
"		108",서울,2013-03-26,39.9,16
"		108",서울,2013-03-27,30.1,8
"		108",서울,2013-03-28,42.1,20
"		108",서울,2013-03-29,28.6,14
"		108",서울,2013-03-30,43.1,15
"		108",서울,2013-03-31,46.4,17
"		108",서울,2013-04-01,44.5,24
"		108",서울,2013-04-02,86.1,71
"		108",서울,2013-04-03,64,21
"		108",서울,2013-04-04,44.5,20
"		108",서울,2013-04-05,42.1,26
"		108",서울,2013-04-06,84.4,51
"		108",서울,2013-04-07,57.3,33
"		108",서울,2013-04-08,55.1,26
"		108",서울,2013-04-09,50.8,28
"		108",서울,2013-04-10,49.3,26
"		108",서울,2013-04-11,54.5,30
"		108",서울,2013-04-12,42.6,24
"		108",서울,2013-04-13,38.6,15
"		108",서울,2013-04-14,40.4,12
"		108",서울,2013-04-15,31.5,19
"		108",서울,2013-04-16,54.5,25
"		108",서울,2013-04-17,62.3,40
"		108",서울,2013-04-18,37.4,14
"		108",서울,2013-04-19,27,13
"		108",서울,2013-04-20,70.8,33
"		108",서울,2013-04-21,58.8,19
"		108",서울,2013-04-22,43.8,17
"		108",서울,2013-04-23,59.3,21
"		108",서울,2013-04-24,67,43
"		108",서울,2013-04-25,78.9,57
"		108",서울,2013-04-26,55,32
"		108",서울,2013-04-27,51.4,23
"		108",서울,2013-04-28,51,31
"		108",서울,2013-04-29,67.6,31
"		108",서울,2013-04-30,48.8,26
"		108",서울,2013-05-01,52.4,31
"		108",서울,2013-05-02,67.1,41
"		108",서울,2013-05-03,64.8,29
"		108",서울,2013-05-04,58.1,31
"		108",서울,2013-05-05,51.8,22
"		108",서울,2013-05-06,54,29
"		108",서울,2013-05-07,41.4,24
"		108",서울,2013-05-08,33.6,16
"		108",서울,2013-05-09,55.3,30
"		108",서울,2013-05-10,89.3,82
"		108",서울,2013-05-11,55.5,21
"		108",서울,2013-05-12,61.3,53
"		108",서울,2013-05-13,45,25
"		108",서울,2013-05-14,46.9,28
"		108",서울,2013-05-15,57,33
"		108",서울,2013-05-16,33.3,19
"		108",서울,2013-05-17,36.6,21
"		108",서울,2013-05-18,62.8,36
"		108",서울,2013-05-19,80.9,56
"		108",서울,2013-05-20,76,58
"		108",서울,2013-05-21,43.3,11
"		108",서울,2013-05-22,49.4,32
"		108",서울,2013-05-23,59.3,23
"		108",서울,2013-05-24,58.9,35
"		108",서울,2013-05-25,49.6,22
"		108",서울,2013-05-26,45.9,30
"		108",서울,2013-05-27,80.4,55
"		108",서울,2013-05-28,89.1,84
"		108",서울,2013-05-29,87.8,84
"		108",서울,2013-05-30,57.9,29
"		108",서울,2013-05-31,46.6,22
"		108",서울,2013-06-01,44.3,24
"		108",서울,2013-06-02,48.6,20
"		108",서울,2013-06-03,59,39
"		108",서울,2013-06-04,54.3,33
"		108",서울,2013-06-05,51.8,33
"		108",서울,2013-06-06,55.9,34
"		108",서울,2013-06-07,50.9,30
"		108",서울,2013-06-08,48.5,37
"		108",서울,2013-06-09,38.3,15
"		108",서울,2013-06-10,35.5,22
"		108",서울,2013-06-11,57.9,33
"		108",서울,2013-06-12,85.4,73
"		108",서울,2013-06-13,70.5,46
"		108",서울,2013-06-14,62.3,37
"		108",서울,2013-06-15,58.4,43
"		108",서울,2013-06-16,69.8,47
"		108",서울,2013-06-17,76.8,57
"		108",서울,2013-06-18,90.1,85
"		108",서울,2013-06-19,71.1,46
"		108",서울,2013-06-20,58.5,39
"		108",서울,2013-06-21,57.5,36
"		108",서울,2013-06-22,63.9,46
"		108",서울,2013-06-23,69.6,44
"		108",서울,2013-06-24,66.6,38
"		108",서울,2013-06-25,58.6,43
"		108",서울,2013-06-26,59.8,44
"		108",서울,2013-06-27,63.1,35
"		108",서울,2013-06-28,61.1,37
"		108",서울,2013-06-29,54.8,34
"		108",서울,2013-06-30,60.4,41
"		108",서울,2013-07-01,58.4,40
"		108",서울,2013-07-02,82.5,68
"		108",서울,2013-07-03,69.1,45
"		108",서울,2013-07-04,84.3,74
"		108",서울,2013-07-05,73.4,51
"		108",서울,2013-07-06,73,48
"		108",서울,2013-07-07,78.8,55
"		108",서울,2013-07-08,88.6,81
"		108",서울,2013-07-09,87.3,80
"		108",서울,2013-07-10,82.8,78
"		108",서울,2013-07-11,86,82
"		108",서울,2013-07-12,88.4,82
"		108",서울,2013-07-13,90.1,81
"		108",서울,2013-07-14,90.9,87
"		108",서울,2013-07-15,80.1,62
"		108",서울,2013-07-16,70.4,59
"		108",서울,2013-07-17,89.1,78
"		108",서울,2013-07-18,85.6,69
"		108",서울,2013-07-19,72,55
"		108",서울,2013-07-20,72.4,51
"		108",서울,2013-07-21,78.8,71
"		108",서울,2013-07-22,81,63
"		108",서울,2013-07-23,87.3,77
"		108",서울,2013-07-24,79,55
"		108",서울,2013-07-25,71.8,48
"		108",서울,2013-07-26,70.9,47
"		108",서울,2013-07-27,67.8,45
"		108",서울,2013-07-28,85.5,68
"		108",서울,2013-07-29,82.3,64
"		108",서울,2013-07-30,73.9,49
"		108",서울,2013-07-31,75.4,57
"		108",서울,2013-08-01,67.3,44
"		108",서울,2013-08-02,80.4,71
"		108",서울,2013-08-03,72.3,50
"		108",서울,2013-08-04,76.4,59
"		108",서울,2013-08-05,78.9,62
"		108",서울,2013-08-06,80.8,65
"		108",서울,2013-08-07,73.8,59
"		108",서울,2013-08-08,73.5,59
"		108",서울,2013-08-09,79.9,73
"		108",서울,2013-08-10,82.4,70
"		108",서울,2013-08-11,71.8,44
"		108",서울,2013-08-12,69.8,49
"		108",서울,2013-08-13,65.6,43
"		108",서울,2013-08-14,67.1,46
"		108",서울,2013-08-15,71.5,52
"		108",서울,2013-08-16,71.8,50
"		108",서울,2013-08-17,69.6,52
"		108",서울,2013-08-18,72.8,49
"		108",서울,2013-08-19,68.9,35
"		108",서울,2013-08-20,62,38
"		108",서울,2013-08-21,54.9,31
"		108",서울,2013-08-22,58.6,38
"		108",서울,2013-08-23,78.9,61
"		108",서울,2013-08-24,60.4,30
"		108",서울,2013-08-25,52.3,28
"		108",서울,2013-08-26,52.3,30
"		108",서울,2013-08-27,61.6,41
"		108",서울,2013-08-28,59.4,32
"		108",서울,2013-08-29,79.1,61
"		108",서울,2013-08-30,69.6,47
"		108",서울,2013-08-31,65.8,48
"		108",서울,2013-09-01,54.6,31
"		108",서울,2013-09-02,49.9,26
"		108",서울,2013-09-03,43.5,19
"		108",서울,2013-09-04,46.5,28
"		108",서울,2013-09-05,52.9,42
"		108",서울,2013-09-06,59.6,49
"		108",서울,2013-09-07,61.8,38
"		108",서울,2013-09-08,63.4,33
"		108",서울,2013-09-09,67,40
"		108",서울,2013-09-10,76.3,55
"		108",서울,2013-09-11,90.6,85
"		108",서울,2013-09-12,80.4,60
"		108",서울,2013-09-13,87.5,78
"		108",서울,2013-09-14,81.1,63
"		108",서울,2013-09-15,59.5,27
"		108",서울,2013-09-16,49.3,25
"		108",서울,2013-09-17,48.4,24
"		108",서울,2013-09-18,54,32
"		108",서울,2013-09-19,56,34
"		108",서울,2013-09-20,71.5,49
"		108",서울,2013-09-21,66.9,45
"		108",서울,2013-09-22,54.9,44
"		108",서울,2013-09-23,55.6,40
"		108",서울,2013-09-24,81.8,68
"		108",서울,2013-09-25,57.3,29
"		108",서울,2013-09-26,36.9,16
"		108",서울,2013-09-27,50.9,30
"		108",서울,2013-09-28,70.6,49
"		108",서울,2013-09-29,86.1,78
"		108",서울,2013-09-30,71.8,52
"		108",서울,2013-10-01,66.8,44
"		108",서울,2013-10-02,58.6,33
"		108",서울,2013-10-03,49.1,25
"		108",서울,2013-10-04,54.6,28
"		108",서울,2013-10-05,48,19
"		108",서울,2013-10-06,53.5,42
"		108",서울,2013-10-07,65.9,51
"		108",서울,2013-10-08,83.4,75
"		108",서울,2013-10-09,63.9,38
"		108",서울,2013-10-10,71,48
"		108",서울,2013-10-11,57.5,38
"		108",서울,2013-10-12,53.8,25
"		108",서울,2013-10-13,62,32
"		108",서울,2013-10-14,63.6,37
"		108",서울,2013-10-15,79.4,68
"		108",서울,2013-10-16,53.1,28
"		108",서울,2013-10-17,55.5,24
"		108",서울,2013-10-18,54.8,31
"		108",서울,2013-10-19,59.1,40
"		108",서울,2013-10-20,60.1,33
"		108",서울,2013-10-21,50.3,31
"		108",서울,2013-10-22,46.1,32
"		108",서울,2013-10-23,49.1,32
"		108",서울,2013-10-24,50.8,21
"		108",서울,2013-10-25,41.9,27
"		108",서울,2013-10-26,50.5,31
"		108",서울,2013-10-27,56.3,30
"		108",서울,2013-10-28,65.5,41
"		108",서울,2013-10-29,71.3,51
"		108",서울,2013-10-30,58.9,37
"		108",서울,2013-10-31,54.9,30
"		108",서울,2013-11-01,50.8,32
"		108",서울,2013-11-02,79.8,61
"		108",서울,2013-11-03,80.3,54
"		108",서울,2013-11-04,70.3,48
"		108",서울,2013-11-05,64.3,32
"		108",서울,2013-11-06,77.5,63
"		108",서울,2013-11-07,52.9,27
"		108",서울,2013-11-08,43.4,18
"		108",서울,2013-11-09,62.1,38
"		108",서울,2013-11-10,45.3,27
"		108",서울,2013-11-11,32.9,21
"		108",서울,2013-11-12,36.1,21
"		108",서울,2013-11-13,43.5,20
"		108",서울,2013-11-14,55.1,40
"		108",서울,2013-11-15,78.3,52
"		108",서울,2013-11-16,72,43
"		108",서울,2013-11-17,58.1,28
"		108",서울,2013-11-18,53.6,36
"		108",서울,2013-11-19,53.9,45
"		108",서울,2013-11-20,38.8,27
"		108",서울,2013-11-21,48.8,32
"		108",서울,2013-11-22,57.9,34
"		108",서울,2013-11-23,64.6,31
"		108",서울,2013-11-24,74.3,52
"		108",서울,2013-11-25,64.6,44
"		108",서울,2013-11-26,60.9,39
"		108",서울,2013-11-27,66.8,42
"		108",서울,2013-11-28,48.9,37
"		108",서울,2013-11-29,52.9,31
"		108",서울,2013-11-30,56.9,38
"		108",서울,2013-12-01,66.9,28
"		108",서울,2013-12-02,64.3,56
"		108",서울,2013-12-03,62.6,33
"		108",서울,2013-12-04,72.8,49
"		108",서울,2013-12-05,73.4,56
"		108",서울,2013-12-06,42.6,20
"		108",서울,2013-12-07,60.8,31
"		108",서울,2013-12-08,75.3,63
"		108",서울,2013-12-09,83.1,70
"		108",서울,2013-12-10,56.1,36
"		108",서울,2013-12-11,64.1,44
"		108",서울,2013-12-12,69.9,53
"		108",서울,2013-12-13,47.5,31
"		108",서울,2013-12-14,65.4,41
"		108",서울,2013-12-15,48.1,27
"		108",서울,2013-12-16,52.6,34
"		108",서울,2013-12-17,52.4,27
"		108",서울,2013-12-18,65.1,45
"		108",서울,2013-12-19,60.6,41
"		108",서울,2013-12-20,56.3,40
"		108",서울,2013-12-21,56.4,41
"		108",서울,2013-12-22,57.5,36
"		108",서울,2013-12-23,57.1,39
"		108",서울,2013-12-24,58,35
"		108",서울,2013-12-25,60.4,43
"		108",서울,2013-12-26,67.8,47
"		108",서울,2013-12-27,49.5,34
"		108",서울,2013-12-28,44.1,34
"		108",서울,2013-12-29,59.8,30
"		108",서울,2013-12-30,55.4,38
"		108",서울,2013-12-31,58.8,28
"		108",서울,2014-01-01,51.3,29
"		108",서울,2014-01-02,35.4,17
"		108",서울,2014-01-03,54.4,32
"		108",서울,2014-01-04,47.1,33
"		108",서울,2014-01-05,48.4,27
"		108",서울,2014-01-06,50.4,31
"		108",서울,2014-01-07,56,43
"		108",서울,2014-01-08,56.6,31
"		108",서울,2014-01-09,26.3,13
"		108",서울,2014-01-10,48.6,30
"		108",서울,2014-01-11,44.1,14
"		108",서울,2014-01-12,43.5,15
"		108",서울,2014-01-13,26,15
"		108",서울,2014-01-14,33.8,18
"		108",서울,2014-01-15,42,22
"		108",서울,2014-01-16,59.9,48
"		108",서울,2014-01-17,55.9,28
"		108",서울,2014-01-18,42.4,25
"		108",서울,2014-01-19,44.8,22
"		108",서울,2014-01-20,83.3,64
"		108",서울,2014-01-21,62.6,56
"		108",서울,2014-01-22,60,36
"		108",서울,2014-01-23,65.6,46
"		108",서울,2014-01-24,64.4,55
"		108",서울,2014-01-25,74.4,51
"		108",서울,2014-01-26,42.1,29
"		108",서울,2014-01-27,48,17
"		108",서울,2014-01-28,52.8,20
"		108",서울,2014-01-29,40.1,13
"		108",서울,2014-01-30,66.1,19
"		108",서울,2014-01-31,26.1,15
"		108",서울,2014-02-01,63.8,22
"		108",서울,2014-02-02,91.6,85
"		108",서울,2014-02-03,38.5,18
"		108",서울,2014-02-04,25.9,17
"		108",서울,2014-02-05,27.5,17
"		108",서울,2014-02-06,29.8,16
"		108",서울,2014-02-07,47.3,33
"		108",서울,2014-02-08,79.4,62
"		108",서울,2014-02-09,76.5,63
"		108",서울,2014-02-10,55,35
"		108",서울,2014-02-11,42.1,26
"		108",서울,2014-02-12,49.3,38
"		108",서울,2014-02-13,46.1,26
"		108",서울,2014-02-14,47.3,31
"		108",서울,2014-02-15,54.6,31
"		108",서울,2014-02-16,53.3,31
"		108",서울,2014-02-17,45.5,29
"		108",서울,2014-02-18,45.9,32
"		108",서울,2014-02-19,48.6,31
"		108",서울,2014-02-20,61.5,38
"		108",서울,2014-02-21,49.1,18
"		108",서울,2014-02-22,49.3,26
"		108",서울,2014-02-23,50.6,29
"		108",서울,2014-02-24,58,40
"		108",서울,2014-02-25,59.9,34
"		108",서울,2014-02-26,44.9,21
"		108",서울,2014-02-27,55.4,30
"		108",서울,2014-02-28,58.8,38
"		108",서울,2014-03-01,61.1,48
"		108",서울,2014-03-02,46.4,16
"		108",서울,2014-03-03,34.4,18
"		108",서울,2014-03-04,48,22
"		108",서울,2014-03-05,44.8,16
"		108",서울,2014-03-06,43.4,25
"		108",서울,2014-03-07,45.9,22
"		108",서울,2014-03-08,55,25
"		108",서울,2014-03-09,56.4,19
"		108",서울,2014-03-10,50.4,27
"		108",서울,2014-03-11,65,30
"		108",서울,2014-03-12,75.8,62
"		108",서울,2014-03-13,54.5,38
"		108",서울,2014-03-14,54.6,36
"		108",서울,2014-03-15,66.8,32
"		108",서울,2014-03-16,68.3,33
"		108",서울,2014-03-17,79,51
"		108",서울,2014-03-18,75.3,46
"		108",서울,2014-03-19,65.5,49
"		108",서울,2014-03-20,71.3,40
"		108",서울,2014-03-21,52.5,22
"		108",서울,2014-03-22,63.5,27
"		108",서울,2014-03-23,63.6,38
"		108",서울,2014-03-24,60.5,37
"		108",서울,2014-03-25,75.9,54
"		108",서울,2014-03-26,64.6,26
"		108",서울,2014-03-27,68.9,39
"		108",서울,2014-03-28,57.3,27
"		108",서울,2014-03-29,73.4,42
"		108",서울,2014-03-30,63.5,35
"		108",서울,2014-03-31,49.3,22
"		108",서울,2014-04-01,33.8,15
"		108",서울,2014-04-02,30,17
"		108",서울,2014-04-03,63,29
"		108",서울,2014-04-04,52.6,21
"		108",서울,2014-04-05,60.5,33
"		108",서울,2014-04-06,50.6,24
"		108",서울,2014-04-07,64.9,45
"		108",서울,2014-04-08,60.9,18
"		108",서울,2014-04-09,85.3,64
"		108",서울,2014-04-10,71.5,37
"		108",서울,2014-04-11,69.5,43
"		108",서울,2014-04-12,68.8,58
"		108",서울,2014-04-13,54.9,31
"		108",서울,2014-04-14,53.3,33
"		108",서울,2014-04-15,80.1,61
"		108",서울,2014-04-16,81,62
"		108",서울,2014-04-17,67.4,34
"		108",서울,2014-04-18,59.9,29
"		108",서울,2014-04-19,56,42
"		108",서울,2014-04-20,54.4,31
"		108",서울,2014-04-21,55.1,25
"		108",서울,2014-04-22,43.1,17
"		108",서울,2014-04-23,49.4,19
"		108",서울,2014-04-24,49,19
"		108",서울,2014-04-25,32.5,18
"		108",서울,2014-04-26,38.9,23
"		108",서울,2014-04-27,86.6,55
