날짜,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
2021-01-16,65871,63503,62090,61578,61947,62762,64049,65843,68162,67499,67033,64903,61516,62137,62819,64335,66905,68347,69347,68524,67318,65729,66025,67841
2021-01-17,65365,62845,61468,60746,60880,61500,62097,62496,62142,59172,57975,56686,55375,55638,56808,59470,63246,66585,68310,67743,66517,65138,65321,65885
2021-01-18,63481,61426,60035,59848,60284,62258,66160,72762,82242,85910,86673,85407,81010,82626,83540,83140,84210,83005,81557,78688,75837,72489,71399,73003
2021-01-19,70296,68321,67166,66696,67239,68622,71942,77321,84965,85348,83864,81109,76402,78006,78856,80275,83221,83393,82105,79413,76608,73081,71708,73434
2021-01-20,70412,68255,66976,66517,66818,68071,71340,76650,83468,83109,81176,78031,72981,74564,75115,76249,78833,78552,77684,75598,73356,70473,69246,70789
2021-01-21,67488,65112,63800,63265,63646,65013,68033,72967,79980,79815,78985,78637,75947,79046,80096,79945,80435,78514,76783,74042,71490,68713,67515,68956
2021-01-22,65738,63156,61788,61230,61695,63070,65879,70398,77484,79367,79026,77749,74568,76940,77628,77201,77339,75177,73222,70819,68922,66134,65328,67155
2021-01-23,63772,61232,59775,59183,59395,60245,61336,62496,64935,65119,65370,64683,62771,63546,63708,63712,63760,63720,64352,63434,62342,60896,60952,62533
2021-01-24,59645,57194,55840,55339,55734,56512,57185,57361,57004,54526,53955,52535,51810,52498,52331,53892,57034,59988,62157,61913,61057,60083,60259,60776
2021-01-25,57931,55620,54655,54553,55335,57527,61556,67487,75047,74827,73319,70572,66809,68251,68274,69101,71796,72051,72147,70447,68668,66403,65251,66605
2021-01-26,63269,60853,59678,59224,59687,61221,64409,68914,76518,78892,79190,78616,75662,77282,77661,77476,77820,75725,74593,72333,70176,67293,66103,67662
2021-01-27,64295,62087,61047,60744,61417,63002,66366,71362,77213,76086,73562,70505,66163,68380,70410,72666,74825,74465,74186,72550,71004,68628,67451,68809
2021-01-28,65455,63150,61882,61433,62120,63827,66844,71727,77571,77553,77723,78198,76435,78162,78259,78863,80655,80279,79639,77501,75061,71958,70951,72623
2021-01-29,69780,67571,66579,66021,66442,67779,71045,76274,83375,83971,82411,79294,74777,76298,77004,77943,80841,80764,79565,77089,74748,71618,70525,72421
2021-01-30,69215,66916,65273,64328,64190,64596,65730,67051,68962,68293,68485,67032,63873,63375,62700,62412,63702,65032,66689,66367,65222,63758,63807,65812
2021-01-31,63063,60686,59311,58658,58753,59316,60052,60226,59470,56512,56160,54799,53442,53654,54675,56264,58663,61311,63574,63246,62475,61139,61139,61412
2021-02-01,58524,56248,55253,55057,55706,57378,61185,66789,75385,77878,77725,76770,73442,75317,75910,76213,76934,75345,74503,72390,70181,67545,66602,68340
2021-02-02,65398,63177,62387,62188,63011,64922,68534,74087,80454,79397,77763,75338,71043,73617,75097,76754,80076,80457,80267,77971,75279,72091,70533,72173
2021-02-03,68968,66924,65714,65306,65740,67253,70596,75938,82594,81774,79189,75953,71348,73246,74543,76211,79330,78526,77673,75730,73663,70609,69184,70774
2021-02-04,67451,65300,64010,63712,64398,66053,69180,74269,80547,80804,79491,76612,71705,73261,74066,75051,77695,78155,78405,76426,74114,70910,69608,71251
2021-02-05,68216,65756,64409,63971,64415,66037,69276,74179,80617,80698,79390,77084,72747,75086,75721,75846,77153,75645,74947,73061,71066,68248,67078,68848
2021-02-06,65727,63406,61914,61347,61382,62053,63132,64437,66340,65588,65570,64197,61002,61068,60734,61080,62464,63239,64778,64357,63543,61999,61850,63317
2021-02-07,60243,57738,56259,55858,56199,56940,57861,58175,58234,56832,56521,54661,52645,52538,52984,54708,57776,60847,63690,63698,63191,62180,62370,62459
2021-02-08,59736,57677,56634,56603,57523,59889,63931,70277,77225,76706,75453,72869,68814,70947,72177,73804,76973,77850,77950,75869,73494,70473,68796,70209
2021-02-09,67085,64782,63449,63153,63819,65321,68668,73701,79114,77595,75749,72623,68304,69667,70373,71438,74391,75059,75300,73646,71901,69341,67869,69387
2021-02-10,65947,63684,62488,62060,62517,63908,66808,71257,76269,75338,73473,70300,66403,67396,67081,66521,66982,66143,67017,66317,65511,63838,62962,64221
2021-02-11,61009,58357,56446,55543,55377,55750,56070,55634,54229,52072,51246,49951,49186,49002,49931,51269,53055,54836,56799,56936,56542,55733,56226,56776
2021-02-12,54231,51733,50318,49784,49926,50789,51619,51959,50190,45789,43264,41237,40134,39720,40254,42320,45879,49395,52477,53075,53261,53444,54192,54836
2021-02-13,52184,50033,48830,48410,48751,49611,50609,50869,49523,46684,45923,44249,43073,42821,43324,45426,48750,52258,55185,55686,55445,55013,55383,55519
2021-02-14,52485,50084,48850,48412,48682,49580,50516,50881,51616,51897,52107,50934,50706,51759,52268,52862,54032,55514,57591,57687,57132,56275,56338,56360
2021-02-15,53355,51159,50077,49856,50704,52514,56169,61516,70552,74279,74829,73240,68237,69233,69749,70450,72392,73440,74098,72598,70697,68235,66682,68072
2021-02-16,64830,62517,61443,61214,61937,63759,67184,72169,77641,77251,76551,75271,73277,76922,79279,80401,80711,78477,78069,76376,74171,71754,69775,71099
2021-02-17,67839,65781,64636,64230,64724,66292,69524,74785,82304,84749,84680,83194,79368,81204,81843,81967,83318,82430,81711,79904,77062,74086,72141,73401
2021-02-18,70296,68105,66863,66225,66531,67971,71027,76138,83075,84067,83115,81040,76674,78298,78735,79016,80963,80657,80397,78547,75881,73163,71154,72467
2021-02-19,69599,67147,65688,65186,65418,66694,69755,74313,79299,78485,76927,73697,68885,70351,70669,71341,73536,73419,73597,72090,70576,68626,67040,68051
2021-02-20,64603,61684,60086,59282,59339,59912,61115,62221,62885,61071,59834,57230,54138,54314,54587,55594,57965,59629,62175,62348,61819,61294,61155,62338
2021-02-21,59218,56554,55084,54462,54774,55641,56301,56216,54517,51788,51184,49393,47952,47683,48085,49848,52999,56450,59722,60140,59700,59349,59061,58657
2021-02-22,55491,53370,52246,52224,53152,55331,59173,64343,69671,69839,68604,65762,62052,64417,65237,66359,68580,68917,70422,69912,68619,66928,65333,65823
2021-02-23,62279,60239,59009,58862,59677,61585,65077,69520,73896,73183,72224,69517,65514,67653,69005,70285,72469,72801,73859,72809,71120,69166,67410,67820
2021-02-24,64104,61757,60370,60063,60648,62277,65418,69784,75639,76281,75195,72237,67903,69507,69779,70333,72194,71425,72187,71308,69947,68093,66432,67029
2021-02-25,63313,61008,59799,59395,60188,61774,64819,69243,75613,77597,77701,76812,74059,76595,76848,76491,76722,74595,73506,71909,70123,67968,66321,67582
2021-02-26,64166,61574,60120,59545,59930,61692,64723,68868,73253,72151,70590,67172,62918,64469,65392,66610,68859,68221,68701,67991,66940,65648,64180,65472
2021-02-27,61810,59253,57746,57207,57526,58402,59640,60309,60494,58726,58264,56043,53135,53050,53218,54392,56460,58263,60795,61158,60567,60114,59849,60933
2021-02-28,57861,55277,53841,53361,53559,54420,55157,55081,53865,52693,52913,52454,52167,53229,54586,54594,55364,57117,59305,59511,58728,58229,58230,58095
2021-03-01,54813,52430,51238,50874,51421,52687,54338,56035,59366,61327,63022,63506,62286,63513,63838,63778,64162,64174,64904,64823,63829,62868,62555,62348
2021-03-02,59203,56897,55942,55689,56373,58277,61974,67622,75180,77208,76045,73940,70074,70967,70755,70509,71710,72974,73939,73178,70705,68667,67111,67516
2021-03-03,63984,61831,60716,60362,61082,62772,65908,70389,74748,74091,72288,69573,65343,66913,67872,69351,71275,71663,72408,71652,69560,67738,66402,66894
2021-03-04,63299,61005,59762,59293,59865,61494,64699,69580,75755,76597,76059,74966,71388,73061,73166,73167,73547,73015,73239,71971,69480,67331,65994,66803
2021-03-05,63418,60761,59440,59173,59705,61360,64319,68641,72682,71447,68543,64680,60096,60938,61491,63138,65726,67571,68693,68273,66582,65193,64237,64596
2021-03-06,61077,58544,57297,56835,57062,57916,59217,59860,60609,59607,59404,58450,56899,58034,58077,58397,59609,60477,62348,62607,61624,60639,60241,61147
2021-03-07,58108,55377,53947,53274,53622,54405,54986,54946,54800,53889,53775,52351,50911,50582,50366,51395,53417,56140,59484,60702,60336,59702,59358,58912
2021-03-08,56003,53837,52921,52885,53849,56099,60042,65658,71789,71435,68554,65037,60859,62279,63259,65198,67735,69491,71063,70517,68241,66324,64878,65095
2021-03-09,61359,58984,57988,57768,58470,60294,63539,68001,72893,72308,69312,65610,61328,62732,63832,65972,68181,69383,70787,70291,68297,66320,64850,65080
2021-03-10,61427,59098,58111,57853,58506,60239,63598,67642,70943,69283,66718,63646,59346,60552,61416,63081,65779,67202,68721,68551,67037,65476,64203,64478
2021-03-11,60924,58710,57753,57463,58024,59928,63067,66979,71172,69933,66985,64046,60121,61307,61980,64114,67143,68151,68914,68627,66600,64907,63465,63475
2021-03-12,59635,57264,56274,55983,56676,58419,61460,66294,72453,73861,73010,72224,69236,70952,71290,71022,70629,69413,69294,68668,66514,64751,63720,64256
2021-03-13,60715,58048,56729,56212,56573,57444,58653,58874,58284,55900,54556,52241,49944,50613,51578,53238,55036,56580,59053,59825,59504,58786,58404,59415
2021-03-14,56086,53644,52219,51869,52269,53243,53949,53304,51638,49665,48872,47427,46797,47262,47865,49269,51558,54564,57769,58921,58751,58227,57908,57296
2021-03-15,54226,52157,51057,50979,51877,54113,57825,62740,67732,67590,65207,62822,59933,61828,62645,64033,66731,67833,68220,67684,65593,63825,62474,62579
2021-03-16,59031,56830,55814,55434,56121,57935,60970,64798,67848,66254,63968,61378,57592,59158,60127,61845,64551,66680,68470,68547,66706,64947,63580,63707
2021-03-17,60054,57948,57037,56823,57578,59339,62446,65735,67595,65810,63892,61305,57808,59300,60377,62264,64803,65950,67362,67684,66046,64703,63397,63409
2021-03-18,59555,57447,56572,56409,57051,58879,61824,65089,67769,66159,64385,61940,58073,59475,60641,62385,65016,66776,68081,67902,66059,64496,63065,62915
2021-03-19,59091,56905,55723,55546,56144,57716,60554,63991,67369,65800,62835,60425,57498,59523,60537,62258,64229,64962,65821,65838,64418,62962,61832,61880
2021-03-20,58111,55833,54547,54086,54238,55237,56456,57544,59536,60519,61460,61248,59655,60207,59918,59194,58791,58611,59648,59811,59081,58160,57583,58485
2021-03-21,55206,52693,51309,50844,51224,52203,52781,52611,51756,50840,50959,49929,48474,48007,47850,48878,51629,54905,58067,59578,59280,58725,58227,57767
2021-03-22,54734,52511,51391,51322,52217,54483,58332,62475,66050,65193,64096,62006,58854,60465,61552,63093,65652,67313,68873,68820,66888,65095,63921,64085
2021-03-23,60483,58181,57194,56967,57662,59461,62522,65438,67908,66226,64061,61468,57603,59018,60096,61778,64382,66227,67748,68079,66279,64755,63311,63349
2021-03-24,59755,57518,56596,56395,57116,58867,61556,64707,68196,67430,65788,63493,59366,60817,61083,62216,64397,65568,66864,67282,65882,64341,63083,63053
2021-03-25,59256,57060,55951,55701,56366,58043,60868,63533,65477,63366,61547,59282,55864,57444,58711,60695,63399,65211,66761,67429,65845,64208,62920,62733
2021-03-26,58965,56606,55628,55359,55960,57720,60667,63586,66019,63746,61517,60321,57947,59701,60084,61134,62637,63598,64728,65073,63761,62488,61358,61409
2021-03-27,57565,55144,53990,53723,53986,54804,55831,56114,56997,57254,58160,58291,57303,58654,58652,58576,58707,58545,59154,59368,58518,57640,57132,57552
2021-03-28,54142,51451,50144,49742,50055,50749,51355,51618,51875,52090,52685,52277,51198,50871,50420,50332,51665,54006,56363,57877,57608,56810,56455,55785
2021-03-29,52604,50212,49175,49067,49866,52089,55505,59867,64295,63462,61852,59703,56723,58685,60925,62339,64357,65367,66173,66819,65038,63395,61996,61637
2021-03-30,57747,55685,54832,54620,55220,56939,59717,62529,65028,63583,61195,58704,55263,56892,58261,59908,62453,64221,65541,66325,64858,63446,62193,61568
2021-03-31,57641,55557,54665,54490,55317,56992,58975,61009,63468,62153,60597,58463,55630,57451,58806,60683,63194,64159,65048,65755,64479,63083,61378,61091
2021-04-01,57364,55519,54462,54117,54718,56250,58715,60963,63021,62092,61492,60431,58234,60871,62430,63370,64982,65215,65788,66192,64637,62904,61315,60853
2021-04-02,57097,54862,53822,53410,54088,55533,57948,60480,63344,62635,61245,59516,56490,59407,61222,62265,63540,63629,64166,64600,63183,61752,60308,59904
2021-04-03,56237,54037,52935,52249,52385,53279,54103,55069,56960,57337,58128,58356,57499,58799,59014,58790,58537,58147,58564,59025,58227,57361,56580,56577
2021-04-04,53326,50976,49649,49198,49491,50305,50937,51504,51784,52224,52650,51988,51029,50681,50750,51456,52664,54588,56355,57780,57503,56524,55876,54943
2021-04-05,51812,49849,48887,48895,49744,51778,55256,58336,61020,60299,59232,57280,54356,55977,57623,59240,61854,63946,65370,66231,64719,62993,61615,61216
2021-04-06,57598,55676,54993,54745,55368,56611,59206,61975,65040,64238,61700,58795,55057,56765,58069,59988,62533,64411,65889,66622,65061,63380,61955,61480
2021-04-07,57633,55611,54887,54708,55266,56808,59249,60768,62330,60986,59813,57876,54668,56796,58274,60008,62222,63735,65065,66289,64972,63381,61961,61389
2021-04-08,57730,55669,54811,54535,55078,56656,59128,61029,62758,61123,59731,57568,54311,56331,58023,59910,62362,64127,65878,66706,65187,63502,62205,61658
2021-04-09,57949,55915,54780,54622,55339,56873,59155,60885,62384,61426,60608,59235,56604,58499,59773,61234,63340,64089,64841,65500,64353,63102,61676,61505
2021-04-10,57763,55561,54527,53952,54282,55299,55707,54466,53003,51148,50783,49221,47127,48125,49371,50645,52319,54126,56445,58226,58074,57498,56827,56684
2021-04-11,53435,51136,49931,49571,49981,50850,51024,49349,46915,45027,44860,43641,42677,42970,44122,46172,48801,51719,54494,56582,56651,55954,55204,54029
2021-04-12,50730,48808,48032,47967,48693,50463,53806,58563,64838,66221,66273,66359,64726,67410,68335,68504,69016,68431,67598,66805,64050,62827,61227,61007
2021-04-13,57378,55237,54296,53916,54296,55732,58455,62145,65989,65713,63819,61302,57643,59147,59329,60146,62527,64433,65891,66770,65350,63484,61953,61683
2021-04-14,58013,55973,54992,54746,55485,57056,59367,61526,63318,62047,60389,57927,54760,56511,57930,59789,62221,63896,65211,66263,65030,63549,62160,61866
2021-04-15,58076,56351,55399,55236,55736,57245,59439,61159,63167,62212,61227,59573,56701,58760,59350,60284,62812,64262,65378,66365,65014,63557,61834,61527
2021-04-16,57879,55862,54994,54582,55156,56441,58884,62139,66009,65880,65930,65771,63171,65380,65479,64869,64800,64360,64512,65252,63946,62474,61159,61298
2021-04-17,57733,55410,54276,53820,53948,54792,55490,54562,53052,50751,50508,52650,50227,50125,50210,51082,52572,54334,56544,58589,58502,57668,56996,57391
2021-04-18,54216,51842,50495,49881,50285,51140,51260,49593,47554,45818,45579,43803,42822,42783,43623,45596,48510,51982,55022,57129,57397,56771,56205,55187
2021-04-19,52168,50205,49477,49293,50187,52147,55042,57546,60588,60195,59275,57507,54545,56537,58209,60163,62492,64236,65409,66072,64710,62974,61494,61179
2021-04-20,57502,55549,54742,54444,54967,56479,58526,60002,61784,61039,60285,58616,55637,57789,59468,61350,63611,64709,65721,66393,64859,63004,61494,60647
2021-04-21,56752,54753,53898,53680,54312,55653,57818,59578,61674,61356,60624,59268,56748,59959,61727,62961,64942,65605,65594,65940,64831,63239,61351,60378
2021-04-22,56627,55028,53860,53460,54039,55160,57516,60372,63887,63980,63175,62293,59842,62584,64710,66141,67265,67059,66837,66966,65193,63184,61118,60309
2021-04-23,56476,54532,53749,53403,53672,54850,57460,60652,64215,64149,63362,62337,60228,62320,63337,64465,65461,65160,64867,65062,64136,62736,61017,60013
2021-04-24,56319,54292,53217,52739,52842,53277,53801,53468,53371,52132,51733,50195,48702,50357,51922,52899,54232,54677,56229,57782,57725,56838,55847,55441
2021-04-25,52462,50325,49115,48563,48895,49481,49629,48133,46177,44779,44992,43982,43413,43811,45370,47343,49919,52561,54922,56678,56810,55996,55082,53739
2021-04-26,50652,48944,48109,47976,48569,50388,52968,55610,59230,59324,58923,57475,55049,57495,59125,60527,62669,63973,64891,65456,64177,62385,60467,59873
2021-04-27,56380,54503,53563,53035,53553,54706,56948,59617,63490,63961,63612,62669,60812,62857,63597,64762,66283,66257,66165,66161,64838,62958,60943,60364
2021-04-28,56622,54741,53816,53450,53920,55063,57192,59583,62566,62323,61532,60240,58202,61235,63090,63904,64939,64815,64867,65551,64558,62955,61229,60024
2021-04-29,56235,54355,53474,53108,53521,54759,57017,59777,62554,62468,62029,60709,57200,58913,59832,61426,63827,64958,65619,66022,64643,62949,61066,60034
2021-04-30,56374,54498,53497,53141,53524,54599,56987,59834,62846,62771,61697,60004,57338,59666,61155,62430,63853,63730,64036,64304,63134,61822,60353,59667
2021-05-01,56056,53924,52614,52091,51938,51941,52566,52531,52626,52136,52527,51684,49914,50138,50599,51074,51845,53387,55258,56696,56758,55977,55359,55203
2021-05-02,52128,49793,48599,48126,48297,48885,49184,48326,47185,46217,46158,44227,43301,43662,44415,45706,48303,51332,54015,56159,56721,56170,55468,54226
2021-05-03,51139,49245,48295,48268,48903,50548,53121,55362,58225,58328,58142,56553,53962,56084,57856,59809,62595,64005,64800,65471,64347,62636,60925,59908
2021-05-04,56172,54174,53443,52997,53487,54569,56931,60271,64965,66467,66399,65901,63517,66508,67370,67464,67838,67007,66430,66282,64841,62960,61269,60553
2021-05-05,56743,54563,53348,52723,53141,53591,54003,53286,52793,52005,52093,50555,48131,49482,50723,52289,54522,56396,58477,60187,60540,59695,58632,57269
2021-05-06,53782,51926,51114,50950,51467,52626,54676,56240,59116,59401,59571,58939,56930,59689,61275,62308,64491,64667,64858,65436,64310,62630,60829,59855
2021-05-07,56196,54260,53384,53037,53416,54254,56090,58045,61489,63524,64780,64256,61237,61594,61342,61603,62524,63274,63592,64301,63690,62181,60367,59631
2021-05-08,56068,53714,52624,52163,52314,52683,52848,51614,50898,49699,49796,48882,47474,48287,49402,51084,53409,54472,55825,57165,57311,56571,55637,54857
2021-05-09,51573,49570,48468,47983,48158,48491,48433,46555,44470,43311,43808,42958,42424,42709,43668,45557,48063,51088,53697,55489,56138,55572,54466,52879
2021-05-10,49956,48046,47167,47057,47754,49449,52856,57910,63989,65915,66005,65206,63109,65891,66628,66682,66328,65969,65830,66093,64850,62928,61013,60087
2021-05-11,56468,54681,53587,53417,53726,54609,56982,60009,63673,64337,63897,62665,59663,62063,63309,64439,65676,65759,65632,66134,65112,63165,61051,59932
2021-05-12,56228,54333,53315,53017,53238,54199,56094,58033,60790,60771,60438,59508,56914,59290,60551,62256,64181,64924,65453,66063,65431,63537,61446,59781
2021-05-13,55962,54095,53200,52826,53270,54225,55935,57685,60448,60725,60795,59895,57744,60734,62707,64728,66618,67191,67349,67558,66198,63946,61683,60038
2021-05-14,56252,54563,53554,53092,53364,54212,56085,58300,61577,62799,62755,62364,60819,64381,66463,67763,68888,68186,67386,67236,66117,64001,61692,60025
2021-05-15,56286,54253,53281,52599,52617,52773,53964,55072,56951,57675,57796,57779,57415,58733,59658,59629,59585,59223,59832,60555,60149,58758,57085,55908
2021-05-16,52961,51003,49695,49096,49057,49253,50272,51047,52447,54068,55727,56057,55927,56382,56532,56633,56855,57265,58040,58503,58209,56738,55342,53778
2021-05-17,50905,49079,48176,47862,48393,49626,53189,58502,64766,67314,67866,67901,66138,68080,68311,68248,68368,67484,67136,66933,65713,63424,61266,59967
2021-05-18,56357,54464,53581,53139,53338,54189,56571,60173,64596,65305,64010,62111,59152,61186,61974,63041,65028,65882,66001,66240,65309,63598,61579,59903
2021-05-19,55996,53962,52889,52394,52341,52816,53417,53082,53182,52802,53654,52809,51279,53128,54991,56923,58744,59294,60551,61842,62006,60700,58846,56952
2021-05-20,53753,52053,51284,50864,51225,52134,55043,59550,65633,67983,67953,67898,65659,67763,68685,68777,69140,68155,67443,66958,65507,63253,61066,59816
2021-05-21,56250,54295,53410,53037,53200,54042,56655,59939,64393,65760,65548,64514,61774,63904,64847,65185,65806,65425,64799,64902,64094,62340,60454,59272
2021-05-22,55319,53314,52169,51689,51666,51896,52371,51682,51442,50583,50910,50065,48648,49780,50913,52150,53870,55349,56813,58018,58452,57321,55980,54874
2021-05-23,51551,49427,48232,47717,47823,47968,47766,46455,45786,46029,46698,46246,45873,47318,49034,51145,52956,53969,55340,56718,56815,55634,53963,52485
2021-05-24,49556,47745,46974,46804,47318,48679,52171,56845,62373,62782,61402,60147,57835,59849,61295,62748,64784,65511,65512,65847,64633,62502,60261,58735
2021-05-25,55235,53563,52789,52331,52545,53250,55994,60105,65179,65261,62319,60013,56818,58894,59978,61351,63325,64537,65144,65408,64574,62852,60779,59394
2021-05-26,55487,53545,52583,52112,52400,53133,55401,58456,62254,62812,62099,60829,59652,62561,64442,66303,66876,65620,65023,65264,64510,62649,60535,59195
2021-05-27,55569,53782,52707,52291,52402,53352,56141,60331,65934,67738,67698,66980,63591,64463,63684,63325,64192,65151,65638,65867,65043,63231,61000,59698
2021-05-28,56098,54228,53053,52739,52929,53849,56119,58915,62882,63946,64693,65491,64452,66069,64410,63363,63505,63795,63824,64236,63893,62157,60137,59075
2021-05-29,55446,53392,52249,51677,51643,51706,51846,50826,50625,49911,50696,50219,49490,51279,52348,53071,54183,55147,56610,57507,57782,56846,55619,54630
2021-05-30,51515,49368,48253,47883,47928,47984,47866,46450,45018,44139,45061,44342,44039,44830,45896,47722,50308,53194,55498,56685,57041,56014,54373,52770
2021-05-31,49758,48012,47179,46943,47279,48625,52062,56703,61479,62284,62391,61529,58894,61057,62329,63961,65504,65752,66049,65936,64859,62885,60518,59230
2021-06-01,55499,53780,52807,52372,52609,53335,55499,58030,61276,62241,62407,61383,58825,61645,63513,65206,67332,67164,67057,67141,65793,63378,60852,59669
2021-06-02,55895,54028,52932,52635,52702,53244,55403,58197,61838,62953,63459,62825,61121,65054,66903,67766,68419,68212,67837,67341,66218,64089,61335,59906
2021-06-03,56239,54347,53331,52874,52943,53592,56224,60346,65934,68319,68898,68424,66511,69239,70113,69894,70093,68828,67693,67020,65326,63147,60747,59693
2021-06-04,56071,54139,53106,52764,52917,53868,55786,58471,61745,61636,61002,59504,56470,59145,60611,61925,64037,64769,64864,64722,64081,62353,60255,59215
2021-06-05,55518,53575,52410,51586,51394,51475,51785,52052,52895,52623,52895,52090,50533,51685,52376,53240,54834,55995,57283,58199,58611,57399,55874,54975
2021-06-06,51815,49956,48877,48249,48093,48196,48220,47360,46804,47726,48568,48276,47647,48221,49003,50481,52576,55010,57022,58117,58683,57581,55807,53749
2021-06-07,50776,48904,47984,47647,47977,49128,52001,56113,61634,63909,65203,65583,63419,65828,66616,66864,68270,68543,68353,68045,66850,64353,61559,60105
2021-06-08,56460,54715,53713,53184,53338,54225,56249,59324,63507,64943,65840,65605,63482,66947,68962,69341,70018,69703,68979,69796,68551,65781,62743,61196
2021-06-09,57421,55473,54527,53974,54002,54739,56886,59668,63799,65825,67133,67101,65391,68599,70198,71453,73387,73042,72003,71392,70035,67079,63893,62102
2021-06-10,58253,56245,55046,54392,54438,55080,57177,60582,65608,68271,70182,70942,69258,71964,73384,74520,74929,73610,72087,71212,69428,66492,63191,61409
2021-06-11,57767,55925,54698,54256,54276,54874,57872,62061,67669,70071,70068,69148,65664,67372,68362,68857,69966,69608,68990,68763,67739,65348,62303,60734
2021-06-12,57128,55122,53883,53170,52843,52770,53404,54002,54886,55010,56428,56446,55480,56618,57295,58482,59920,60931,61648,62209,62166,60548,58242,57070
2021-06-13,53732,51555,50178,49386,49213,49298,49636,49806,50350,50766,52052,51941,51790,52287,53260,54988,57277,58990,60501,61518,61377,59828,57567,55262
2021-06-14,52182,50195,49255,48781,48996,50318,53596,58772,65618,68322,69792,69917,68165,70904,72255,73041,74220,73492,72305,71474,69942,67009,63649,61939
2021-06-15,58217,56284,55182,54608,54732,55592,58539,63394,69851,72692,73227,72993,70550,72715,73311,72825,72705,71819,71234,70618,69271,66376,63308,61820
2021-06-16,58172,56321,55222,54682,54605,55479,57997,61595,66382,68689,69826,69895,67953,70094,71014,71507,72494,71890,71046,70441,69565,66812,63504,62032
2021-06-17,58164,56241,55217,54607,54462,55188,57624,61316,66141,67838,68269,68930,67353,70596,71954,72169,72670,71470,70232,69813,68283,65688,62615,61355
2021-06-18,57526,55852,54782,54280,54402,55196,58117,62409,67834,70082,70192,69587,67178,69772,70457,70404,70527,69185,67913,67704,66689,64391,61558,60670
2021-06-19,57143,55180,53856,53136,52908,52889,53584,53576,54126,53775,54589,53868,52907,54337,55184,55890,57449,58825,60220,60838,60923,59414,57440,56413
2021-06-20,53220,51132,49909,49147,48909,48991,49180,48402,48018,47810,49717,49943,50513,51394,52403,53982,56230,57966,59780,60819,61200,59629,57441,55277
2021-06-21,52362,50401,49490,49111,49421,50583,53274,57738,63650,65863,66777,66736,64909,67818,69515,70461,72091,72382,71407,70346,68879,66204,63094,61713
2021-06-22,57838,55929,54898,54187,54272,54977,57287,60856,65849,68481,68960,68565,67247,70397,70791,70640,72518,72268,71174,70466,68926,66189,62929,61482
2021-06-23,57893,55901,54959,54414,54262,54968,57367,61236,66615,68677,69251,69448,67155,69889,71219,71285,71726,70848,69683,69292,68454,65966,63125,61629
2021-06-24,57900,56007,54914,54443,54434,55041,57381,60903,65749,67437,68364,68245,66287,69110,70598,71504,72813,72326,71314,70714,69313,66678,63532,62028
